order_id,customer_id,product_name,category,price,quantity,total_amount,order_date,customer_age,customer_gender,customer_location,payment_method,shipping_method,product_rating,sales_rep
1037,C037,Gaming Console,Electronics,399.99,1,399.99,2023-02-20,22,Male,North Dakota,Debit Card,Standard,4.9,Jacob Edwards
1038,C038,Workout Leggings,Sports,49.99,2,99.98,2023-02-21,26,Female,South Dakota,PayPal,Express,4.4,Alexis Collins
1039,C039,Food Processor,Home & Kitchen,129.99,1,129.99,2023-02-22,39,Male,Nebraska,Credit Card,Standard,4.7,Noah Stewart
1040,C040,Sunglasses,Fashion,89.99,1,89.99,2023-02-23,28,Female,Idaho,PayPal,Express,4.1,Kayla Sanchez
1041,C041,Fitness Tracker,Electronics,149.99,1,149.99,2023-02-24,33,Male,West Virginia,Credit Card,Standard,4.8,Ethan Morris
1042,C042,Foundation,Beauty,39.99,1,39.99,2023-02-25,27,Female,Mississippi,Debit Card,Express,4.3,Olivia Rogers
1043,C043,Golf Clubs,Sports,299.99,1,299.99,2023-02-26,45,Male,Alabama,PayPal,Standard,4.6,Liam Reed
1044,C044,Vacuum Cleaner,Home & Kitchen,199.99,1,199.99,2023-02-27,36,Female,South Carolina,Credit Card,Express,4.5,Sophia Cook
1045,C045,Webcam,Electronics,79.99,1,79.99,2023-02-28,25,Male,Kentucky,PayPal,Standard,4.2,William Bailey
1046,C046,Nail Polish,Beauty,12.99,4,51.96,2023-03-01,29,Female,Louisiana,Credit Card,Express,4.4,Emma Rivera
1047,C047,Baseball Glove,Sports,59.99,1,59.99,2023-03-02,31,Male,New Mexico,Debit Card,Standard,4.7,Mason Cooper
1048,C048,Coffee Grinder,Home & Kitchen,89.99,1,89.99,2023-03-03,34,Female,Oregon,PayPal,Express,4.1,Ava Richardson
1049,C049,External Hard Drive,Electronics,99.99,1,99.99,2023-03-04,30,Male,Washington,Credit Card,Standard,4.8,Logan Cox
1050,C050,Shampoo,Beauty,19.99,2,39.98,2023-03-05,28,Female,California,PayPal,Express,4.3,Isabella Ward 
